date, min, max, pm25, q1, q3, stdev, count
2020/01/11, 0.02, 3.32, 0.45, 0.28, 0.62, 0.533, 108
2020/01/12, 0.2, 4.58, 0.9, 0.62, 1.29, 0.535, 472
2020/01/13, 0.8, 12.65, 2.86, 1.92, 6.14, 2.615, 419
2020/01/14, 0.35, 4.51, 1.88, 1.14, 2.45, 0.834, 390
2020/01/15, 0.25, 2.82, 1.45, 1.2, 1.71, 0.421, 401
2020/01/16, 0.4, 19.5, 4.11, 1.55, 7.54, 4.987, 403
2020/01/17, 0.45, 5.38, 1.66, 1.2, 2.34, 0.788, 399
2020/01/18, 0.1, 2.76, 0.96, 0.51, 1.31, 0.5, 418
2020/01/19, 0.16, 6.08, 0.88, 0.55, 1.27, 0.796, 393
2020/01/20, 0.38, 4.68, 1.2, 0.91, 1.74, 0.746, 313
2020/01/21, 0, 23.42, 1.12, 0.4, 3.83, 5.279, 397
2020/01/22, 2.52, 14.51, 7.94, 4.88, 13.18, 4.246, 10
2020/01/23, 0.82, 8.44, 2.34, 1.99, 2.75, 1.219, 82
2020/01/24, 0.1, 5.08, 1.9, 0.75, 2.7, 1.224, 265
2020/01/25, 0.15, 7, 2.91, 1.66, 4.38, 1.625, 286
2020/01/26, 1.31, 10.75, 5.37, 3.62, 7.85, 2.508, 202
2020/01/28, 0.05, 2.54, 0.4, 0.28, 0.7, 0.438, 57
2020/01/29, 0.15, 3, 0.78, 0.5, 1.23, 0.567, 289
2020/01/30, 0.05, 4.55, 0.55, 0.27, 1.33, 0.98, 277
2020/01/31, 0.1, 5.35, 1.29, 0.55, 2.95, 1.361, 276
2020/02/01, 0, 4.28, 0.88, 0.4, 1.63, 0.97, 305
2020/02/02, 0.12, 12.46, 0.68, 0.36, 2.02, 2.922, 317
2020/02/03, 0.05, 10.6, 1.27, 0.68, 2.66, 3.002, 310
2020/02/04, 0.1, 8, 1.71, 0.94, 2.29, 0.994, 245
2020/02/05, 0.1, 3.42, 1.04, 0.62, 1.62, 0.724, 231
2020/02/06, 0.15, 8.64, 1.3, 0.4, 3.57, 2.395, 224
2020/02/07, 4.62, 35.04, 17.36, 9.51, 22.21, 8.461, 213
2020/02/08, 0, 32.42, 4.68, 2.27, 19.82, 10.073, 187
2020/02/09, 0, 9.48, 1.23, 0.2, 4.13, 2.455, 324
2020/02/10, 0, 1.3, 0.21, 0.13, 0.35, 0.185, 329
2020/02/11, 0, 2.52, 0.33, 0.15, 0.7, 0.408, 330
2020/02/12, 0, 3.22, 1.02, 0.7, 1.45, 0.643, 330
2020/02/13, 0.28, 4.78, 1.05, 0.73, 1.52, 0.606, 336
2020/02/14, 0.32, 8.03, 2, 1.1, 3.03, 1.714, 348
2020/02/15, 0, 11.4, 6.71, 3.6, 8.23, 2.769, 288
2020/02/16, 0.1, 6.76, 1.6, 0.98, 2.44, 1.13, 343
2020/02/17, 0, 2.44, 0.4, 0.2, 0.74, 0.458, 319
2020/02/18, 0, 1.62, 0.3, 0.2, 0.55, 0.301, 288
2020/02/19, 0, 7.2, 1.54, 1, 2.42, 1.267, 401
2020/02/20, 0, 11.31, 0.52, 0.3, 1.64, 1.462, 430
2020/02/21, 0, 2.9, 0.15, 0.1, 0.43, 0.56, 381
2020/02/22, 0, 2.86, 0.73, 0.28, 1.13, 0.529, 393
2020/02/23, 0.05, 2.2, 0.95, 0.52, 1.23, 0.463, 380
2020/02/24, 0.1, 2.24, 0.64, 0.46, 0.88, 0.348, 438
2020/02/25, 0, 7.72, 0.84, 0.38, 1.68, 1.022, 409
2020/02/26, 0, 2.68, 0.3, 0.18, 0.43, 0.369, 342
2020/02/27, 0, 9.84, 0.5, 0.22, 0.78, 0.897, 455
2020/02/28, 0, 13.12, 1.75, 0.87, 4.04, 2.672, 461
2020/02/29, 0, 26.24, 2.34, 1.08, 13.07, 7.415, 465
2020/03/01, 0, 4.9, 0.32, 0.12, 1.03, 0.762, 473
2020/03/02, 0.15, 2.5, 0.84, 0.54, 1.23, 0.466, 418
2020/03/03, 0.12, 3.8, 0.64, 0.38, 1.17, 0.745, 349
2020/03/04, 0.26, 5.54, 1.14, 0.85, 1.66, 0.739, 472
2020/03/05, 0.38, 10, 1.4, 0.86, 4.88, 2.582, 470
2020/03/06, 0.52, 18.07, 5.11, 1.1, 7.92, 4.299, 472
2020/03/07, 0.42, 8.36, 3.12, 1.6, 4.8, 1.971, 475
2020/03/08, 0, 6.5, 0.55, 0.36, 0.81, 1.228, 460
2020/03/09, 0.1, 3.08, 0.71, 0.36, 1.54, 0.733, 470
2020/03/10, 0, 6.31, 0.82, 0.48, 1.34, 1.079, 471
