date, pm25, pm10, o3, no2, so2, co
2025/11/1, 16, 8, , 4, , 
2025/11/2, 17, 4, , 4, , 
2025/11/3, 5, 9, , 11, , 
2025/11/4, 15, 11, , 10, , 
2025/11/5, 20, 20, , 16, , 
2025/11/6, 46, 16, , 11, , 
2025/11/7, 38, 14, , 8, , 
2025/11/8, 43, 9, , 12, , 
2025/11/9, 27, 9, , 11, , 
2025/11/10, 20, 6, , 8, , 
2025/11/11, 9, 8, , 5, , 
2025/11/12, 14, 15, , 1, , 
2025/11/13, 25, , , , , 
2025/10/1, 5, 8, , 7, , 
2025/10/2, 16, 7, , 3, , 
2025/10/3, 11, 11, , 1, , 
2025/10/4, 24, 16, , 1, , 
2025/10/5, 34, 29, , 2, , 
2025/10/6, 23, 25, , 4, , 
2025/10/7, 23, 33, , 4, , 
2025/10/8, 31, 33, , 3, , 
2025/10/9, 28, 20, , 2, , 
2025/10/10, 15, 7, , 3, , 
2025/10/11, 10, 4, , 4, , 
2025/10/12, 13, 14, , 10, , 
2025/10/13, 45, 17, , 10, , 
2025/10/14, 46, 22, , 12, , 
2025/10/15, 49, 20, , 8, , 
2025/10/16, 40, 13, , 9, , 
2025/10/17, 30, 15, , 6, , 
2025/10/18, 39, 15, , 5, , 
2025/10/19, 44, 12, , 15, , 
2025/10/20, 29, 8, , 10, , 
2025/10/21, 17, 10, , 10, , 
2025/10/22, 15, 12, , 9, , 
2025/10/23, 17, 8, , 7, , 
2025/10/24, 13, 4, , 4, , 
2025/10/25, 7, 5, , 5, , 
2025/10/26, 11, 8, , 6, , 
2025/10/27, 13, 17, , 4, , 
2025/10/28, 27, 9, , 8, , 
2025/10/29, 14, 11, , 11, , 
2025/10/30, 19, 13, , 8, , 
2025/10/31, 24, 8, , 4, , 
2025/7/1, 12, 6, , 5, , 
2025/7/2, 12, 20, , 3, , 
2025/7/3, 18, 17, , 3, , 
2025/7/4, 18, 2, , , , 
2025/7/5, 2, 5, , 2, , 
2025/7/6, 11, 20, , 3, , 
2025/7/7, 23, 33, , 4, , 
2025/7/8, 37, 23, , 2, , 
2025/7/9, 15, 11, , 5, , 
2025/7/10, 16, 13, , 6, , 
2025/7/11, 18, 11, , 4, , 
2025/7/12, 21, 6, , 1, , 
2025/7/13, 17, 16, , 4, , 
2025/7/14, 29, 16, , 4, , 
2025/7/15, 23, 14, , 2, , 
2025/7/16, 29, 15, , 5, , 
2025/7/17, 29, 10, , 6, , 
2025/7/18, 14, 11, , 3, , 
2025/7/19, 23, 16, , 3, , 
2025/7/20, 45, 10, , 4, , 
2025/7/21, 24, 11, , 3, , 
2025/7/22, 24, 19, , 4, , 
2025/7/23, 51, 23, , 5, , 
2025/7/24, 64, 30, , 4, , 
2025/7/25, 43, 11, , 2, , 
2025/7/26, 23, 9, , 1, , 
2025/7/27, 22, 11, , 3, , 
2025/7/28, 13, 9, , 6, , 
2025/7/29, 17, 25, , 3, , 
2025/7/30, 24, 9, , 3, , 
2025/7/31, 10, 5, , 5, , 
2025/8/1, 7, 12, , 3, , 
2025/8/2, 18, 9, , 1, , 
2025/8/3, 16, 22, , 1, , 
